FUNC __main__.orderSmall 164.8047 1553896859.7208 164.8047 1553896860.4707
FUNC __main__.orderBig 164.8047 1553896860.4707 164.8047 1553896861.3614
FUNC __main__.orderUnorder 164.8047 1553896861.3614 164.8047 1553896863.0336
CMDLINE c:\users\andr9\appdata\local\programs\python\python37\python.exe main.py
MEM 0.074219 1553896858.6113
MEM 23.738281 1553896858.7675
MEM 31.562500 1553896858.8768
MEM 44.101562 1553896858.9862
MEM 46.960938 1553896859.0955
MEM 46.960938 1553896859.2049
MEM 46.960938 1553896859.3142
MEM 46.988281 1553896859.4236
MEM 48.480469 1553896859.5330
MEM 129.550781 1553896859.6427
MEM 178.167969 1553896859.7521
MEM 172.437500 1553896859.8614
MEM 172.437500 1553896859.9708
MEM 172.437500 1553896860.0802
MEM 172.437500 1553896860.1895
MEM 172.437500 1553896860.2988
MEM 172.437500 1553896860.4082
MEM 172.437500 1553896860.5176
MEM 172.437500 1553896860.6273
MEM 172.437500 1553896860.7366
MEM 172.437500 1553896860.8460
MEM 172.437500 1553896860.9553
MEM 172.437500 1553896861.0646
MEM 172.437500 1553896861.1740
MEM 172.437500 1553896861.2834
MEM 164.804688 1553896861.3927
MEM 164.804688 1553896861.5020
MEM 164.804688 1553896861.6117
MEM 164.804688 1553896861.7211
MEM 164.804688 1553896861.8304
MEM 164.804688 1553896861.9398
MEM 180.070312 1553896862.0492
MEM 172.437500 1553896862.1585
MEM 172.437500 1553896862.2678
MEM 172.437500 1553896862.3772
MEM 172.437500 1553896862.4865
MEM 172.437500 1553896862.5958
MEM 172.437500 1553896862.7055
MEM 172.437500 1553896862.8149
MEM 172.437500 1553896862.9242
MEM 172.437500 1553896863.0336
MEM 142.621094 1553896863.1429
MEM 31.222656 1553896863.2525
