CMDLINE c:\users\andr9\appdata\local\programs\python\python37\python.exe main.py
MEM 0.593750 1553804168.6739
MEM 11.152344 1553804168.7762
MEM 17.769531 1553804168.8767
MEM 23.355469 1553804168.9796
MEM 27.246094 1553804169.0798
MEM 32.992188 1553804169.1819
MEM 40.789062 1553804169.2821
MEM 47.632812 1553804169.3839
MEM 46.792969 1553804169.4872
MEM 46.792969 1553804169.5897
MEM 46.792969 1553804169.6934
MEM 46.792969 1553804169.7966
MEM 46.792969 1553804169.8992
MEM 46.792969 1553804170.0010
MEM 46.824219 1553804170.1017
MEM 47.261719 1553804170.2045
MEM 78.531250 1553804170.3051
MEM 131.890625 1553804170.4051
MEM 165.761719 1553804170.5080
MEM 165.761719 1553804170.6111
MEM 165.761719 1553804170.7148
MEM 165.761719 1553804170.8177
MEM 165.761719 1553804170.9177
MEM 165.761719 1553804171.0217
MEM 165.761719 1553804171.1253
MEM 165.761719 1553804171.2262
MEM 165.761719 1553804171.3262
MEM 165.761719 1553804171.4287
MEM 173.046875 1553804171.5287
MEM 173.394531 1553804171.6296
MEM 173.394531 1553804171.7324
MEM 173.394531 1553804171.8365
MEM 173.394531 1553804171.9404
MEM 173.394531 1553804172.0447
MEM 173.394531 1553804172.1451
MEM 173.394531 1553804172.2486
MEM 173.394531 1553804172.3515
MEM 173.394531 1553804172.4541
MEM 173.394531 1553804172.5562
MEM 173.394531 1553804172.6587
MEM 173.394531 1553804172.7620
MEM 173.394531 1553804172.8649
MEM 173.394531 1553804172.9653
MEM 173.394531 1553804173.0685
MEM 173.394531 1553804173.1691
MEM 173.394531 1553804173.2694
MEM 173.394531 1553804173.3697
MEM 173.394531 1553804173.4698
MEM 173.394531 1553804173.5726
MEM 173.394531 1553804173.6758
MEM 173.394531 1553804173.7790
FUNC __main__.myFunc 48.6055 1553804170.2445 49.9258 1553804175.8502
MEM 173.394531 1553804173.8832
MEM 173.394531 1553804173.9834
MEM 173.394531 1553804174.0863
MEM 181.027344 1553804174.1877
MEM 173.394531 1553804174.2904
MEM 173.394531 1553804174.3909
MEM 173.394531 1553804174.4938
MEM 173.394531 1553804174.5968
MEM 173.394531 1553804174.7014
MEM 173.394531 1553804174.8046
MEM 173.394531 1553804174.9085
MEM 173.394531 1553804175.0121
MEM 173.394531 1553804175.1139
MEM 173.394531 1553804175.2172
MEM 173.394531 1553804175.3216
MEM 173.394531 1553804175.4218
MEM 173.394531 1553804175.5255
MEM 173.394531 1553804175.6271
MEM 173.394531 1553804175.7298
MEM 88.496094 1553804175.8302
