FUNC __main__.orderSmall 165.4453 1554387504.8094 165.4453 1554387505.5036
FUNC __main__.orderBig 165.4453 1554387505.5036 165.4453 1554387506.3810
FUNC __main__.orderUnorder 165.4453 1554387506.3810 165.4453 1554387507.0712
CMDLINE c:\users\andr9\appdata\local\programs\python\python37\python.exe main.py
MEM 0.675781 1554387503.7796
MEM 18.000000 1554387503.8803
MEM 27.179688 1554387503.9810
MEM 39.460938 1554387504.0817
MEM 47.406250 1554387504.1825
MEM 47.406250 1554387504.2832
MEM 47.406250 1554387504.3839
MEM 47.406250 1554387504.4846
MEM 47.433594 1554387504.5854
MEM 76.128906 1554387504.6858
MEM 150.410156 1554387504.7865
MEM 173.078125 1554387504.8872
MEM 173.078125 1554387504.9880
MEM 173.078125 1554387505.0887
MEM 173.078125 1554387505.1894
MEM 173.078125 1554387505.2901
MEM 173.078125 1554387505.3909
MEM 173.078125 1554387505.4916
MEM 173.078125 1554387505.5923
MEM 173.078125 1554387505.6931
MEM 173.078125 1554387505.7938
MEM 173.078125 1554387505.8945
MEM 173.078125 1554387505.9953
MEM 173.078125 1554387506.0960
MEM 173.078125 1554387506.1967
MEM 173.078125 1554387506.2975
MEM 180.710938 1554387506.3980
MEM 173.078125 1554387506.4987
MEM 173.078125 1554387506.5995
MEM 173.078125 1554387506.7002
MEM 173.078125 1554387506.8009
MEM 173.078125 1554387506.9017
MEM 173.078125 1554387507.0024
MEM 165.445312 1554387507.1031
